                mar1  chr1               mar2 chr2 fem  mal    LOD
              UT2096  2            AFMa240yb9  3  0.01 0.22   3.23
           AFM331xf1  2            AFMa240yb9  3  0.00 0.22   3.12
           GATA14B12  2                 UT602  3  0.00 0.32   3.58
           GATA71D09  2            AFMa210za9  3  0.18 0.30   3.70
               UT992  2             AFM154xa7  3  0.50 0.00   3.01
               UT992  2             GATA24E11  3  0.50 0.00   3.01
               UT992  2               Mfd233A  3  0.50 0.00   3.01
              UT5135  2             AFM154xa7  3  0.50 0.00   3.31
              UT5135  2             GATA24E11  3  0.50 0.00   3.31
              UT5135  2               Mfd233A  3  0.50 0.00   3.31
               D2S95  2             AFM154xa7  3  0.50 0.00   3.31
               D2S95  2             GATA24E11  3  0.47 0.00   3.32
               D2S95  2               Mfd233A  3  0.50 0.00   3.31
              UT1358  2             AFM154xa7  3  0.50 0.00   3.31
              UT1358  2             GATA24E11  3  0.50 0.00   3.31
              UT1358  2               Mfd233A  3  0.50 0.00   3.31
          AFMa297wc1  2                UT7503  3  0.00 0.00   3.01
          AFMa297wc1  2                UT1880  3  0.00 0.00   3.31
          AFMa297wc1  2            AFMb313zb1  3  0.30 0.00   3.66
               UT431  2             AFM154xa7  3  0.50 0.00   3.01
               UT431  2             GATA24E11  3  0.45 0.00   3.05
               UT431  2               Mfd233A  3  0.50 0.00   3.01
           AFM220xc9  2                UT7503  3  0.50 0.00   3.01
           AFM220xc9  2                UT1880  3  0.39 0.00   3.51
            GATA4D07  2                UT7503  3  0.50 0.00   3.01
           AFM248za9  2                UT7503  3  0.50 0.00   3.01
           AFM248za9  2                UT1880  3  0.50 0.00   3.31
           AFM248za9  2                 UT674  3  0.50 0.00   3.01
           AFM248za9  2                UT6384  3  0.50 0.00   3.01
           AFM248za9  2                UT1002  3  0.47 0.00   3.32
           AFM248za9  2                UT2104  3  0.50 0.00   3.31
           AFM248za9  2                UT7494  3  0.48 0.00   3.02
          AFMa224xb9  2                UT7503  3  0.50 0.00   3.31
          AFMa058ye1  2                UT7503  3  0.00 0.00   3.01
          AFMb314zb9  2            AFMb326xb5  3  0.32 0.14   3.09
          AFMb348zg9  2                UT7503  3  0.50 0.00   3.61
          AFMa349xf9  2             AFM320yb5  3  0.50 0.00   3.31
          AFMa349xf9  2                UT7503  3  0.50 0.00   3.01
           AFM157xe3  2             AFM320yb5  3  0.37 0.00   3.53
           AFM157xe3  2                UT7503  3  0.50 0.00   3.01
           AFM102xd8  2             AFM320yb5  3  0.50 0.00   3.31
           AFM102xd8  2                UT7503  3  0.50 0.00   3.01
           AFM321yg5  2             AFM320yb5  3  0.44 0.00   4.19
           AFM321yg5  2                UT7503  3  0.50 0.00   3.01
           AFM218xa1  2             AFM320yb5  3  0.00 0.00   3.91
           AFM218xa1  2            AFMb326xb5  3  0.37 0.00   3.01
          GATA135B11  2             AFM320yb5  3  0.50 0.00   3.31
          GATA135B11  2                UT7503  3  0.50 0.00   3.01
           GGAA20G04  2                UT7805  3  0.18 0.14   3.33
           GGAA20G04  2                UT7503  3  0.50 0.00   3.61
          AFMb334za5  2            AFMa176yg9  3  0.44 0.16   3.32
          AFMb334za5  2             AFM320yb5  3  0.50 0.00   4.21
          AFMb334za5  2            AFMa224xf9  3  0.50 0.00   4.21
          AFMb334za5  2                UT7503  3  0.50 0.00   3.01
          AFMa191xg5  2                UT7503  3  0.50 0.00   3.61
           AFM297wc1  2            AFMa176yg9  3  0.50 0.00   3.31
           AFM297wc1  2             AFM320yb5  3  0.50 0.00   3.31
           AFM297wc1  2             AFM296vd5  3  0.50 0.00   3.31
           AFM297wc1  2            AFMa224xf9  3  0.50 0.00   3.31
           AFM297wc1  2                UT7503  3  0.00 0.00   3.01
           AFM297wc1  2             GTAT2B07O  3  0.50 0.00   3.61
           AFM094xb3  2                UT7805  3  0.09 0.10   3.45
           AFM094xb3  2             AFM320yb5  3  0.33 0.00   3.84
           AFM094xb3  2            AFMb047xc1  3  0.25 0.14   3.88
           AFM094xb3  2             AFM296vd5  3  0.36 0.00   3.92
           AFM094xb3  2            AFMb326xb5  3  0.16 0.00   5.43
           AFM094xb3  2                UT7503  3  0.50 0.00   3.01
           AFM094xb3  2                UT6384  3  0.27 0.00   3.52
           AFM094xb3  2                UT7494  3  0.27 0.00   3.52
           AFM191wg9  2             AFM267zf9  3  0.23 0.35   3.45
           AFM192yd2  2             AFM267zf9  3  0.25 0.23   4.61
           AFM192yd2  2            GATA121E06  3  0.31 0.27   3.20
          AFMb317zg1  2            AFMb296wg1  3  0.16 0.00   3.02
          AFM164wa11  2            AFMb326xb5  3  0.24 0.18   3.34
            ATA27H09  2             AFM267zf9  3  0.25 0.34   3.49
           AFM225zd8  2                UT7805  3  0.09 0.11   3.20
           AFM225zd8  2             AFM320yb5  3  0.50 0.00   3.01
           AFM225zd8  2            AFMa224xf9  3  0.31 0.00   3.98
           AFM318wf1  2            AFMa353xa9  3  0.37 0.00   4.08
             ATC3E01  2            AFMa191zg5  3  0.00 0.50   3.01
            GAAT3C11  2            AFMb049zf9  3  0.32 0.10   3.35
           AFM263wb5  2             AFM162xh4  4  0.00 0.50   3.01
          AFMb313yd5  2             GATA87B03  4  0.17 0.11   3.27
          AFMa086zb1  2              ATA28H07  4  0.00 0.50   3.01
          AFMa086zb1  2                UT1692  4  0.00 0.44   3.12
          AFMa086zb1  2              ATA27C07  4  0.00 0.50   3.01
          AFMb304yh1  2             AFM331xh5  4  0.22 0.23   3.26
           AFM320yd9  2             AFM312wb1  4  0.20 0.25   3.31
               UT992  2            AFMa143ze5  4  0.10 0.50   3.20
               UT992  2             AFM316xd9  4  0.00 0.40   4.03
          AFMb355xd5  2             AFM238xf6  4  0.00 0.50   3.31
           GATA65C03  2             AFM238xf6  4  0.00 0.50   3.31
          AFMa057vg9  2             AFM238xf6  4  0.00 0.50   3.31
           AFM105xc1  2             AFM198we3  4  0.14 0.50   3.38
           GATA12B05  2             AFM198we3  4  0.16 0.00   3.38
           AFM155ye1  2             AFM177xf8  4  0.00 0.50   3.01
           AFM155ye1  2               UT8137A  4  0.00 0.45   3.03
           AFM155ye1  2               UT8137B  4  0.00 0.45   3.03
           AFM155ye1  2            AFMb305yh9  4  0.00 0.50   3.01
          AFMa289xc1  2             GATA71D08  4  0.00 0.50   3.01
          AFMa289xc1  2             GATA68C08  4  0.00 0.00   3.31
          AFMa289xc1  2               ATA2A03  4  0.00 0.00   3.31
          AFMa289xc1  2             AFM353tc1  4  0.00 0.00   3.31
          AFMa289xc1  2                UT2537  4  0.00 0.00   3.01
          AFMa289xc1  2                Mfd357  4  0.00 0.44   3.03
             ATC3E01  2             GATA71D08  4  0.00 0.48   3.02
          AFM094xf11  2             AFM284vc5  4  0.17 0.50   3.49
           AFM191xb8  2                UT2537  4  0.00 0.50   3.61
            ATA21C10  2             GATA68C08  4  0.00 0.48   3.32
          AFMa082xc5  2                UT7665  4  0.15 0.42   4.27
              UT1459  2               Mfd106A  4  0.06 0.48   3.20
           AFM319zf9  2            AFMb364zg9  4  0.24 0.50   3.19
           AFM277vb9  2              GATA7D01  4  0.16 0.50   3.38
          AFMa104yd5  2             AFM262vg9  4  0.50 0.12   3.49
          AFMa061yf9  2              GATA7D01  4  0.10 0.47   3.22
           AFM079za5  2              GATA7D01  4  0.15 0.50   3.21
           AFM079za5  2             AFM255zf1  4  0.17 0.48   3.17
           AFM301wg1  2               Mfd106A  4  0.00 0.13   3.51
           AFM301wg1  2            AFMb364zg9  4  0.25 0.37   3.25
           AFM165zh8  2            AFMa044tf1  4  0.20 0.50   3.25
           AFM165zh8  2             GATA11F12  4  0.16 0.50   3.08
           AFM165zh8  2             GATA70D04  4  0.16 0.43   3.31
           AFM165zh8  2             AFM280va9  4  0.22 0.50   3.50
           AFM165zh8  2             AFM268wf1  4  0.22 0.47   3.52
          AFMa337zd1  2             AFM057xe5  4  0.22 0.49   3.09
          AFMa337zd1  2            AFMb364zg9  4  0.26 0.47   3.03
          AFMa337zd1  2             AFM284vc5  4  0.24 0.47   3.05
           GATA23D03  2            GATA144E02  4  0.16 0.50   3.71
           GATA23D03  2            AFMa044tf1  4  0.22 0.48   3.12
          AFMb354we5  2             AFM057xe5  4  0.22 0.48   3.10
          AFMa121za9  2             AFM135xe1  4  0.18 0.50   3.25
               UT501  2                Mfd222  4  0.06 0.25   3.63
           AFM277wg9  2             AFM268wf1  4  0.28 0.50   3.03
           AFM248wc5  2             AFM057xe5  4  0.21 0.50   3.26
               UT432  2             AFM057xe5  4  0.09 0.33   3.43
          AFMb298we9  2             AFM057xe5  4  0.10 0.50   3.45
          AFMb298we9  2             AFM292xe1  4  0.12 0.50   3.79
          AFMa217yf9  2             AFM057xe5  4  0.20 0.50   3.47
             2PTEL12  2            AFMb299yg5  5  0.46 0.22   3.00
             2PTEL12  2             AFM268we9  5  0.39 0.15   3.30
          AFMb283zh5  2             GATA51G10  5  0.42 0.22   3.28
          AFMb283zh5  2            AFMa083xb9  5  0.46 0.17   3.54
          GATA158C03  2                 Mfd43  5  0.41 0.12   3.50
          GATA158C03  2             AFM112xd2  5  0.44 0.13   3.76
          GATA158C03  2            GATA139B09  5  0.50 0.20   3.49
          GATA158C03  2            AFMb037wf5  5  0.46 0.25   3.21
          GATA158C03  2             AFM329tf5  5  0.45 0.28   3.12
          GATA158C03  2            AFMb299yg5  5  0.44 0.17   4.11
          GATA158C03  2             GATA51G10  5  0.50 0.26   3.50
          GATA158C03  2            AFMa083xb9  5  0.48 0.25   3.31
          GATA158C03  2            AFMc008zf9  5  0.47 0.25   3.17
          GATA158C03  2             AFM268we9  5  0.37 0.14   3.35
          AFM224xb10  2            AFM042xa11  5  0.50 0.18   3.58
          AFMa356zh9  2             AFM211yc7  5  0.50 0.19   3.04
           GGAA20G10  2              GAAT1A12  5  0.32 0.19   3.76
              Mfd266  2             AFM319yc1  5  0.50 0.15   3.21
             ATA4F03  2            AFM210vf12  5  0.33 0.19   3.21
          AFMb318xa9  2                  IG22  5  0.10 0.50   3.15
               UT670  2             AFM214za9  5  0.00 0.50   3.01
               UT670  2            AFMa196zg1  5  0.00 0.49   3.01
           AFM102xd8  2                 UT516  5  0.05 0.14   3.57
           AFM218xa1  2            AFMc022ya5  5  0.02 0.09   4.09
           AFM207vf8  2                 UT516  5  0.07 0.30   3.01
          AFMa081za9  2             GATA73F06  5  0.50 0.00   3.01
           AFM296xa5  2             GATA73F06  5  0.50 0.00   3.01
          AFMa131wb9  2              ATA19A12  5  0.22 0.33   3.06
           AFM080xg9  2             GATA73F06  5  0.50 0.00   3.61
           GATA29E02  2                UT2419  5  0.07 0.32   3.22
          AFMc012xf9  2            AFMb029yd9  6  0.00 0.50   3.01
               UT595  2            AFM238yh10  6  0.16 0.50   3.01
             ATA3G09  2            AFMa350zc9  6  0.24 0.17   3.65
          AFM163xc11  2             AFM192yf2  6  0.50 0.00   3.31
          AFMb363yg9  2             AFM059xh8  6  0.37 0.17   3.48
            ATA27D04  2             GATA28G05  6  0.41 0.20   3.11
              UT5213  2             AFM297zd5  6  0.00 0.36   3.19
           AFM234zh2  2             AFM059xh8  6  0.37 0.16   3.14
           AFM154xf8  2              ATA56D06  6  0.14 0.31   3.34
           AFM154xf8  2             AFM059xh8  6  0.21 0.28   3.06
           AFM154xf8  2             AFM234xd8  6  0.18 0.26   3.25
          AFMa111ya9  2             AFM059xh8  6  0.28 0.27   3.08
           AFM297xh5  2             AFM297zd5  6  0.13 0.44   3.37
           AFM297xh5  2             AFM059xh8  6  0.33 0.28   3.26
           AFM297xh5  2             AFM234xd8  6  0.30 0.28   3.33
          AFM220xa11  2             AFM260zb5  6  0.36 0.27   3.26
           AFM267ve9  2             AFM297zd5  6  0.09 0.40   3.55
           AFM203yb6  2            AFMb314yd5  6  0.12 0.36   3.04
           GATA69E12  2             AFM297zd5  6  0.09 0.47   4.42
           AFM200xb2  2            AFMb076wf1  6  0.50 0.00   3.01
          AFMc025yh5  2             AFM036ye1  6  0.09 0.50   3.41
          AFMc025yh5  2                UT1349  6  0.14 0.35   3.16
          AFMc025yh5  2            AFMa057vf9  6  0.21 0.41   3.04
          AFMa129xe9  2                UT5206  6  0.09 0.50   3.41
          AFMa129xe9  2             AFM036ye1  6  0.09 0.50   3.41
           AFM331xf1  2             AFM036ye1  6  0.10 0.48   3.17
           AFM331xf1  2            AFM158ya11  6  0.14 0.50   3.08
           AFM331xf1  2            AFMa244xc9  6  0.17 0.38   3.58
          AFMa061yb9  2            AFMa057vf9  6  0.21 0.22   3.61
           GATA62B10  2                UT5206  6  0.18 0.47   3.48
           GATA62B10  2             AFM036ye1  6  0.09 0.50   3.41
           GATA62B10  2            AFMa057vf9  6  0.18 0.41   3.45
           GATA71D09  2                UT5206  6  0.13 0.43   3.67
          GATA112E03  2            AFMa057vf9  6  0.12 0.43   3.43
          AFM212zh10  2            AFM095wf11  6  0.15 0.18   3.42
           AFM021xf6  2                UT5206  6  0.00 0.50   3.31
          AFMb001ye9  2            AFMb321zb1  6  0.15 0.50   3.24
          AFMb001ye9  2            AFMb031ye9  6  0.12 0.50   4.54
          AFMb001ye9  2             AFM317zb1  6  0.15 0.50   3.47
          AFMb001ye9  2            AFMa223wd9  6  0.14 0.50   3.32
          AFMb001ye9  2                Mfd171  6  0.14 0.50   3.09
          AFMb001ye9  2            AFM158ya11  6  0.15 0.50   3.24
          AFMb001ye9  2             GATA68D05  6  0.13 0.28   3.42
          AFMb001ye9  2             AFM234ya7  6  0.14 0.50   3.38
          AFMb001ye9  2            AFMa083yb9  6  0.16 0.50   3.31
          AFMb001ye9  2            AFMa054tg1  6  0.16 0.50   3.01
          AFMb001ye9  2            AFMb320vc9  6  0.12 0.00   3.49
          AFMb339ze1  2             AFM200yb6  6  0.24 0.40   3.06
           AFM220ze3  2             AFM200yb6  6  0.24 0.35   3.37
          AFMa041xc1  2             AFM317zb1  6  0.19 0.50   3.09
           AFM087xa1  2             AFM200yb6  6  0.24 0.35   3.05
          GATA123B03  2                Mfd226  6  0.13 0.27   3.27
          GATA123B03  2            AFM046xg11  6  0.13 0.30   3.11
          GATA167A05  2                 Mfd91  6  0.39 0.00   3.46
          GATA167A05  2             AFM200yb6  6  0.26 0.30   3.09
           AFM116xe5  2            AFM199zf12  6  0.09 0.26   3.20
           AFM116xe5  2            AFMb291xg9  6  0.09 0.26   3.20
           AFM116xe5  2             AFM234ya7  6  0.09 0.24   3.03
           AFM116xe5  2             GATA23F08  6  0.50 0.00   3.31
           AFM116xe5  2                 Mfd91  6  0.00 0.00   3.31
           AFM116xe5  2             AFM200yb6  6  0.22 0.27   3.17
           AFM116xe5  2             AFM292yd5  6  0.30 0.22   3.40
          AFMb039zh1  2                 Mfd91  6  0.40 0.00   3.40
          AFMb039zh1  2            GATA119B06  6  0.29 0.23   3.57
           AFM324vg1  2                 Mfd91  6  0.40 0.00   3.10
          AFMb053yb9  2             AFM165xg9  6  0.36 0.24   3.06
          AFMb053yb9  2            GATA161A04  6  0.50 0.00   3.01
          AFMb053yb9  2                 Mfd91  6  0.40 0.00   3.40
          AFMb053yb9  2             AFM059yd6  6  0.36 0.18   3.28
          AFMb053yb9  2            AFMb314yd5  6  0.40 0.15   3.33
          AFMb053yb9  2             AFM220yc9  6  0.50 0.09   3.37
          AFMb053yb9  2            AFMa175vg9  6  0.50 0.14   3.14
          AFMb053yb9  2             AFM200yb6  6  0.21 0.28   3.93
          AFM191vg11  2             AFM269ze1  6  0.28 0.34   3.58
          AFM191vg11  2            AFMa133xa5  6  0.21 0.43   3.23
          AFMa305zc1  2                 Mfd91  6  0.45 0.00   3.35
           AFM281yd5  2             AFM112yc1  6  0.33 0.00   3.23
           AFM281yd5  2            AFMb019wd9  6  0.30 0.00   3.66
           AFM281yd5  2            GATA161A04  6  0.40 0.00   3.10
           AFM281yd5  2                UT5174  6  0.50 0.00   3.31
           AFM281yd5  2                 Mfd91  6  0.35 0.00   3.48
           AFM281yd5  2             AFM200yb6  6  0.23 0.10   3.03
           AFM092ye9  2                 Mfd91  6  0.50 0.00   3.01
               UT992  2             AFM331vh1  6  0.17 0.40   3.25
               UT992  2            AFMb337wc5  6  0.10 0.27   3.07
               UT992  2            AFMb321zb1  6  0.15 0.20   3.42
               UT992  2            AFMa054tg1  6  0.15 0.21   3.52
               UT992  2             GGAA19D05  6  0.27 0.07   3.22
               UT992  2             AFM067xh3  6  0.40 0.10   3.28
               UT992  2             GATA23F08  6  0.45 0.00   3.08
               UT992  2                 Mfd91  6  0.40 0.00   3.10
          GATA135B08  2                 Mfd91  6  0.41 0.00   3.43
          GATA135B08  2            AFMb330yd5  6  0.50 0.24   3.20
           AFM289xb1  2             AFM067xh3  6  0.36 0.18   3.65
           AFM289xb1  2             AFM112yc1  6  0.33 0.00   3.23
           AFM289xb1  2            AFMa074wf5  6  0.49 0.17   3.50
           AFM289xb1  2                 Mfd91  6  0.45 0.00   3.35
           AFM289xb1  2             AFM200yb6  6  0.20 0.35   3.13
           AFM289xb1  2             AFM292yd5  6  0.22 0.33   3.24
            ATA10H07  2             AFM067xh3  6  0.00 0.00   3.01
            ATA10H07  2             AFM112yc1  6  0.37 0.00   3.30
            ATA10H07  2            AFMa074wf5  6  0.45 0.00   3.10
            ATA10H07  2                 Mfd91  6  0.40 0.00   3.10
           GATA27A12  2            AFMb019wd9  6  0.37 0.11   3.48
           GATA27A12  2                 Mfd91  6  0.43 0.00   3.10
           AFM319tc9  2                 Mfd91  6  0.42 0.00   3.41
           AFM249wf1  2                UT6927  6  0.20 0.35   3.09
           AFM249wf1  2            GATA161A04  6  0.50 0.00   3.01
           AFM249wf1  2                 Mfd91  6  0.45 0.00   3.35
           AFM249wf1  2             AFM120xg9  6  0.50 0.23   3.00
              UT5135  2             GATA29C09  6  0.14 0.40   3.23
              UT5135  2            AFM198yc11  6  0.19 0.23   3.38
              UT5135  2            AFMb321zb1  6  0.19 0.19   3.16
              UT5135  2            AFMa223wd9  6  0.19 0.23   3.38
              UT5135  2            AFMa054tg1  6  0.15 0.20   3.72
              UT5135  2             GGAA19D05  6  0.28 0.06   3.63
              UT5135  2             AFM345yc5  6  0.20 0.15   3.72
              UT5135  2             AFM329wg1  6  0.00 0.23   3.34
              UT5135  2             AFM067xh3  6  0.00 0.09   3.71
              UT5135  2             GATA23F08  6  0.35 0.00   3.71
              UT5135  2                 Mfd91  6  0.40 0.00   3.40
               UT502  2             AFM162xc3  6  0.41 0.00   3.17
               UT502  2            AFMa309xh1  6  0.40 0.00   3.57
               UT502  2            AFMb328wf1  6  0.36 0.00   3.85
               UT502  2              ATA56D06  6  0.36 0.00   3.67
               UT502  2            AFMa058zb9  6  0.36 0.00   3.85
               UT502  2             AFM224yb4  6  0.36 0.00   3.67
               UT502  2             AFM211ze5  6  0.36 0.00   3.37
               UT502  2             AFM059xh8  6  0.39 0.00   3.64
               UT502  2             AFM301zb1  6  0.36 0.00   3.49
               UT502  2             AFM234xd8  6  0.31 0.00   3.74
               UT502  2             AFM165xg9  6  0.38 0.00   3.75
               UT502  2             AFM067xh3  6  0.36 0.00   3.49
               UT502  2            AFMb341zh5  6  0.39 0.00   3.64
               UT502  2             GATA22F05  6  0.42 0.00   3.45
               UT502  2            AFM225ya11  6  0.00 0.00   3.31
               UT502  2             AFM198ze1  6  0.41 0.00   3.47
               UT502  2             AFM112yc1  6  0.00 0.00   3.01
               UT502  2             AFM238zd4  6  0.41 0.00   3.47
               UT502  2            AFMa055zg9  6  0.00 0.00   3.01
               UT502  2             AFM260zb5  6  0.35 0.00   3.89
               UT502  2            AFMb019wd9  6  0.36 0.00   3.49
               UT502  2            AFMa074wf5  6  0.39 0.00   3.64
               UT502  2            GATA161A04  6  0.00 0.00   3.01
               UT502  2            AFMb316ze1  6  0.42 0.00   3.48
               UT502  2            AFMa060zf9  6  0.39 0.00   3.66
               UT502  2              ATA22D10  6  0.45 0.00   3.35
               UT502  2              ATA23C05  6  0.41 0.00   3.47
               UT502  2            AFM198wg11  6  0.45 0.00   3.35
               UT502  2                UT5174  6  0.27 0.00   3.82
               UT502  2             GATA23F08  6  0.41 0.00   3.47
               UT502  2            AFMa230vc9  6  0.36 0.00   3.67
               UT502  2             AFM135xh2  6  0.42 0.00   3.48
               UT502  2                 Mfd91  6  0.00 0.00   3.31
               UT502  2             AFM059yd6  6  0.41 0.00   3.56
               UT502  2             AFM210vf8  6  0.00 0.00   3.01
               UT502  2            AFMb338zf9  6  0.41 0.00   3.47
               UT502  2            AFMa052vf1  6  0.50 0.00   3.31
               UT502  2             GATA23B12  6  0.50 0.00   3.01
               UT502  2             AFM127xb2  6  0.27 0.00   3.22
               UT502  2            GATA119B06  6  0.45 0.00   3.07
               UT502  2            AFM095wf11  6  0.36 0.00   3.67
               UT852  2             GGAA19D05  6  0.50 0.00   3.91
               UT852  2              ATA56D06  6  0.36 0.06   4.10
               UT852  2             AFM067xh3  6  0.36 0.06   3.92
               UT852  2             AFM112yc1  6  0.00 0.00   3.01
               UT852  2            AFMa074wf5  6  0.39 0.05   4.05
               UT852  2                UT5174  6  0.27 0.14   3.04
               UT852  2             GATA23F08  6  0.41 0.00   3.47
               UT852  2            AFMa230vc9  6  0.35 0.00   3.64
               UT852  2                 Mfd91  6  0.00 0.00   3.31
           AFM323wc5  2            AFM164yc11  6  0.50 0.17   3.27
           AFM323wc5  2             AFM067xh3  6  0.36 0.17   3.67
           AFM323wc5  2            GATA161A04  6  0.50 0.00   3.01
           AFM323wc5  2                 Mfd91  6  0.50 0.00   3.31
              UT5668  2             AFM331vh1  6  0.16 0.00   3.38
              UT5668  2             AFM025te5  6  0.13 0.00   3.06
          AFMb285yh5  2                 Mfd91  6  0.41 0.00   3.40
               D2S95  2            AFMa054tg1  6  0.16 0.20   3.49
               D2S95  2             GGAA19D05  6  0.33 0.06   3.55
               D2S95  2             AFM067xh3  6  0.45 0.09   3.73
               D2S95  2             GATA23F08  6  0.48 0.00   3.32
               D2S95  2                 Mfd91  6  0.44 0.00   3.34
          AFMa286xg1  2                 Mfd91  6  0.40 0.00   3.40
           AFM032xg5  2            AFMa070zd9  6  0.37 0.00   3.89
              UT1358  2             GGAA19D05  6  0.50 0.06   3.47
              UT1358  2             AFM329wg1  6  0.00 0.19   3.92
               UT431  2                UT6927  6  0.21 0.40   3.50
               UT431  2            AFMa336zf9  6  0.21 0.40   3.20
               UT431  2            AFMb285zf5  6  0.19 0.38   3.11
               UT431  2            AFMa303zf5  6  0.14 0.33   4.02
               UT431  2            AFM198yc11  6  0.19 0.24   4.03
               UT431  2            AFMa312zb1  6  0.23 0.24   3.16
               UT431  2            AFMa223wd9  6  0.23 0.24   3.46
               UT431  2             GGAA19D05  6  0.32 0.06   3.35
               UT431  2             AFM345yc5  6  0.28 0.16   3.13
              Mfd19A  2            AFMa303zf5  6  0.13 0.18   3.24
           AFM304ta9  2                UT6927  6  0.19 0.32   3.58
           AFM304ta9  2                 UT896  6  0.18 0.27   3.63
          AFMa224xb9  2                 UT896  6  0.21 0.26   3.08
              Mfd301  2             GATA29C09  6  0.22 0.45   3.42
              Mfd301  2             AFM240yd6  6  0.24 0.45   3.15
              Mfd301  2             AFM205yc7  6  0.26 0.47   3.11
              Mfd301  2             AFM270zc1  6  0.18 0.44   3.34
              Mfd301  2             GATA74F07  6  0.24 0.50   3.19
              Mfd301  2                Mfd183  6  0.23 0.37   3.17
              Mfd301  2             AFM046xh4  6  0.26 0.46   3.13
           AFM094ye9  2            AFM198yc11  6  0.00 0.23   3.57
          AFMc010za5  2             AFM268xe1  6  0.31 0.20   3.08
           AFM144yf8  2                 UT896  6  0.09 0.27   3.09
           AFM144yf8  2                UT7256  6  0.09 0.23   3.06
          AFMb331yf1  2             AFM268xe1  6  0.20 0.20   4.36
           AFM094xb3  2             AFM268xe1  6  0.23 0.19   3.12
          GATA113F01  2             AFM301wb9  6  0.10 0.48   3.22
          AFM164wa11  2             AFM268xe1  6  0.22 0.23   3.87
            ATA27H09  2             AFM268xe1  6  0.30 0.23   3.25
          AFMa083xd1  2             AFM268xe1  6  0.07 0.33   3.09
            GATA3F05  2                UT6961  6  0.00 0.50   3.31
               UT501  2             AFM207wa1  6  0.00 0.50   3.01
             2QTEL37  2            AFMa141zd9  6  0.00 0.00   3.61
             2PTEL12  2             AFM276yg1  7  0.21 0.50   3.48
          AFMb283zh5  2                ELNmfd  7  0.14 0.50   3.44
           AFM234ya9  2             AFM207wb2  7  0.21 0.38   3.39
           AFM339yf9  2             AFM207wb2  7  0.22 0.39   3.01
          AFMb318xa9  2             AFM317vf1  7  0.23 0.42   3.37
          AFMb318xa9  2            GATA115D01  7  0.20 0.37   3.03
          AFMb318xa9  2            AFMb322yd5  7  0.24 0.43   3.00
           AFM248yd5  2             GATA85B06  7  0.13 0.36   3.18
           GATA23H01  2             GATA21B01  7  0.12 0.50   3.24
           GATA23H01  2            AFMa245zd5  7  0.04 0.50   4.84
           GATA23H01  2            AFMb313xh9  7  0.11 0.48   3.44
           AFM310xf5  2             GATA85B06  7  0.09 0.50   3.41
           AFM310xf5  2             AFM044xb8  7  0.20 0.50   3.07
           AFM310xf5  2             AFM290vg9  7  0.22 0.50   3.23
            GGAT4C08  2            GATA137H02  7  0.21 0.31   3.05
            GGAT4C08  2             GATA85B06  7  0.08 0.50   3.93
            GGAT4C08  2             AFM044xb8  7  0.16 0.50   3.12
            GGAT4C08  2             AFM290vg9  7  0.17 0.50   3.19
          AFMc006yd9  2             GATA21B01  7  0.14 0.47   4.27
          AFMc006yd9  2            AFMa302vd5  7  0.11 0.37   4.18
          AFMc006yd9  2            AFMa245zd5  7  0.20 0.47   3.53
           AFM199vb6  2             GATA21B01  7  0.16 0.49   3.09
           AFM321xd9  2            AFMb294yd1  7  0.37 0.17   3.48
          AFMa116zh9  2            AFMa051ze9  7  0.50 0.18   3.05
          AFM161yh10  2            AFMa051ze9  7  0.50 0.07   4.73
          GATA115D05  2            AFMb294yd1  7  0.33 0.21   3.06
          AFMa115za5  2             AFM088ye9  7  0.00 0.36   3.23
          AFMa115za5  2             GATA21H01  7  0.50 0.16   3.02
          AFMa115za5  2            AFMa051ze9  7  0.46 0.20   3.08
           AFM172xc3  2             GATA21H01  7  0.50 0.14   3.14
           AFM022tc1  2             AFM347zb9  7  0.24 0.30   3.40
           AFM022tc1  2            AFMa224wc1  7  0.22 0.45   3.19
          AFMc015wb5  2                UT1341  7  0.10 0.14   3.76
          AFM191vg11  2            AFMa290xa5  7  0.32 0.28   3.07
          AFM191vg11  2            AFM240zh10  7  0.48 0.26   3.01
           AFM281yd5  2            AFMa222wa5  7  0.24 0.19   3.27
              UT1914  2             GATA85B06  7  0.00 0.00   3.31
              UT1914  2             AFM290vg9  7  0.06 0.35   4.01
           AFM362td9  2                UT5800  7  0.16 0.33   3.12
          AFMb285xg9  2                UT5800  7  0.16 0.33   3.12
           AFM321zf9  2            GATA137F12  7  0.49 0.00   3.02
              UT5048  2                   IL6  7  0.00 0.49   3.01
          AFM065yf11  2             AFM249xf9  7  0.18 0.50   3.05
          GATA161E02  2            AFM218xf10  7  0.00 0.50   3.31
            GAAT1B02  2                PY5-19  7  0.25 0.00   3.39
          AFMa061yf9  2            AFMb335wd9  7  0.20 0.46   3.06
           AFM127xb4  2                UT5195  7  0.17 0.50   3.16
          AFMa121za9  2             AFM191xh6  7  0.24 0.50   3.01
               UT506  2             AFM284zf9  7  0.07 0.38   3.02
               UT506  2             AFM095xe9  7  0.07 0.38   3.02
               UT506  2            AFMa054wc5  7  0.07 0.38   3.02
          AFMa289ye1  2             AFM288yg9  7  0.14 0.50   3.38
           AFM361ta5  2             AFM288yg9  7  0.19 0.50   3.67
             2QTEL47  2            AFMb320vf9  7  0.00 0.50   3.01
