                mar1  chr1               mar2 chr2 fem  mal    LOD
           AFM156xg7  1                UT5146  2  0.36 0.10   3.38
           AFM156xg7  1                 UT868  2  0.36 0.00   3.19
           AFM156xg7  1             AFM331zg5  2  0.36 0.24   3.10
           AFM156xg7  1            AFMa108yf1  2  0.36 0.17   3.15
           AFM156xg7  1               ATA3G09  2  0.44 0.11   3.74
           AFM278xe5  1            AFMa108yf1  2  0.41 0.06   3.27
          AFMb342yg1  1                UT5918  2  0.18 0.00   3.15
           AFM088yb3  1                 UT868  2  0.40 0.00   3.66
           AFM088yb3  1             AFM331zg5  2  0.42 0.00   3.57
           AFM088yb3  1                Mfd307  2  0.44 0.00   3.43
           AFM088yb3  1             AFM318za9  2  0.36 0.00   3.34
           AFM088yb3  1                 UT668  2  0.50 0.00   3.01
          AFMa115yc9  1             GGAA20G10  2  0.13 0.15   3.07
          AFMa115yc9  1                UT5146  2  0.23 0.08   3.53
          AFMa115yc9  1             AFM249th9  2  0.30 0.00   4.40
          AFMa115yc9  1             AFM338yc1  2  0.31 0.15   3.72
          AFMa115yc9  1                 UT868  2  0.31 0.00   3.74
          AFMa115yc9  1            AFMa116xd9  2  0.41 0.11   3.06
          AFMa115yc9  1             AFM270xh9  2  0.42 0.12   3.31
          AFMa115yc9  1            AFMa070we9  2  0.37 0.14   3.68
          AFMa115yc9  1             AFM331zg5  2  0.39 0.14   3.61
          AFMa115yc9  1                Mfd266  2  0.38 0.13   3.13
          AFMa115yc9  1             AFM073ya5  2  0.42 0.00   3.45
          AFMa115yc9  1            AFMa341ye1  2  0.28 0.15   3.65
          AFMa115yc9  1             AFM331we9  2  0.42 0.14   3.05
          AFMa115yc9  1            AFMa108yf1  2  0.39 0.11   3.60
          AFMa115yc9  1            AFMa238xc9  2  0.47 0.00   3.32
          AFMa115yc9  1            AFMa064wh1  2  0.40 0.13   3.26
          AFMa115yc9  1                  APOB  2  0.26 0.12   3.56
          AFMa115yc9  1                Mfd292  2  0.44 0.12   3.32
          AFMa115yc9  1            AFMa301xc1  2  0.44 0.11   3.81
          AFMa115yc9  1            AFMa134vf1  2  0.43 0.13   3.41
          AFMa115yc9  1             AFM242yd8  2  0.48 0.13   3.30
          AFMa115yc9  1                Mfd307  2  0.45 0.00   3.98
          AFMa115yc9  1               GAAT1F2  2  0.00 0.05   3.95
          AFMa115yc9  1             AFM350ye1  2  0.48 0.08   4.51
          AFMa115yc9  1            AFMa305wh9  2  0.50 0.00   3.61
          AFMa115yc9  1            AFMa052yb5  2  0.49 0.07   5.00
          AFMa115yc9  1             AFM254vc9  2  0.50 0.09   3.67
          AFMa115yc9  1            AFMb009xf1  2  0.47 0.07   4.45
          AFMa115yc9  1             AFM234ya9  2  0.50 0.08   4.24
          AFMa115yc9  1             AFM303yf1  2  0.50 0.08   4.50
          AFMa115yc9  1            AFMb082zd5  2  0.50 0.00   3.91
          AFMa115yc9  1             AFM240yf8  2  0.50 0.04   5.12
          AFMa115yc9  1              GATA8F07  2  0.50 0.08   4.50
          AFMa115yc9  1            AFMb357zf5  2  0.50 0.00   3.61
          AFMa115yc9  1               ATA3G09  2  0.36 0.00   5.30
          AFMa115yc9  1             AFM303yc1  2  0.50 0.07   5.00
          AFMa115yc9  1             AFM318za9  2  0.00 0.00   3.91
          AFMa115yc9  1            AFMa082xe1  2  0.50 0.09   3.67
          AFMa115yc9  1             AFM337yf9  2  0.50 0.07   5.00
          AFMa115yc9  1             AFM296vg9  2  0.50 0.07   4.73
